	Person	Number_of_Movies	Role	Franchise_Box_Office	Career_Box_Office	Career/Franchise
97	Jeff Goldblum	2.0	Grandmaster	1719570741	8460010592	20.3%
98	Josh Brolin	2.0	Thanos	4843091509	8758035044	55.3%
99	John Kani	2.0	TâChaka	2488393906	4181998208	59.5%
100	Hannibal Buress	2.0	Coach Wilson	2788319536	5706440497	48.9%
101	Jorge Lendeborg Jr	2.0	Jason Ionello	2788319536	3721699971	74.9%
102	Laura Haddock	2.0	Meredith Quill	1639970358	2329607974	70.4%
103	Michelle Yeoh	2.0	Jiang Nan	1301312597	4868197153	26.7%
104	Benicio del Toro	2.0	The Collector	2819242149	5744267136	49.1%
105	Zach Cherry	2.0	Klev	1310495925	1430452498	91.6%
106	J.K. Simmons	2.0	J. Jonah Jameson	3042155767	11466348285	26.5%
107	Tilda Swinton	2.0	The Ancient One	3471074929	6473370555	53.6%
108	Gozie Agbo	2.0	Theo Broussard	1866301475	1866301475	100.0%
109	Isabella Amara	2.0	Sally Avril	2926631045	3064872845	95.5%
110	Robert Redford	2.0	Agent Alexander Pierce	3509133644	5753540147	61.0%
111	Alexis Denisof	2.0	The Other	2285982606	2290311456	99.8%
112	Zack Duhame	2.0	Engine Pirate	1233260338	1827824659	67.5%
113	Callan Mulvey	2.0	Jack Rollins	3509133644	5339447038	65.7%
114	Gregg Turkington	2.0	Dale	981256974	981484490	100.0%
115	Brian Schaeffer	2.0	Strucker Mercenary	2016473368	2016473368	100.0%
116	Tiffany Espensen	2.0	Cindy	2926631045	3175494910	92.2%
117	Terry Notary	2.0	Groot	4843091509	7801594597	62.1%
118	Jamie McShane	2.0	Agent Jackson	1964426829	2609162857	75.3%
119	Stephen Blackehart	2.0	Brahl	1639970358	1852044677	88.5%
120	Stephen McFeely	2.0	SHIELD Interrogator #2	2762761643	2762761643	100.0%
121	Rob Zombie	2.0	Himself	1639970358	1657922569	98.9%
122	Ross Marquand	2.0	Red Skull	4843091509	4843123357	100.0%
